fignum,chapter,title,subtitle,source,fname
10.8,10,Cartogram maps,“Negro population of the United States compared with the total population of other countries.”,"Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-33903.",
10.9,10,Cartogram maps,“Proportion of Negroes in the total population of the United States.”,"Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-33904.",
2.1,2,The first statistical graph,Van Langren’s 1644 graph of twelve determinations of the longitude distance from Toledo to Rome: The correct distance is 16.5°.,"M. F. van Langren, La Verdadera Longitud por Mar y Tierra, Antwerp, 1644. Reproduction courtesy of the Koninklijke Bibliotheek van België.",2.1-langren1844-KBR-50pct.png
2.2,2,Graphs of functional forms,"A portion of a page from Oresme’s Latitude of Forms, showing three graphical forms arising from a functional relation between physical variables.","Nicole Oresme, Tractatus de latitudinibus formarum. Padua: Matthaeus Cerdonis, 1482.",2.2-oresme_diagrams.jpg
2.3,2,Graphical inventions,"Timeline of the invention of some basic forms for statistical graphs, 1600–1850.",© The Authors.,2.3-timeline.png
2.4,2,Overlay,"Van Langren’s 1644 graph, linearly rescaled and overlaid on a modern map of Europe. Toledo and Rome are shown by markers on the map.","Map: Google Maps; overlay: M. F. van Langren, La Verdadera Longitud por Mar y Tierra, Antwerp, 1644. Reproduction courtesy of the Koninklijke Bibliotheek van België.",2.4-langren-google-overlay.jpg
2.5,2,Cipher,Van Langren’s cipher-text description of his solution to the longitude problem. This cipher has never been decoded.,"M. F. van Langren, La Verdadera Longitud por Mar y Tierra, Antwerp, 1644.",2.5-verdadera-cipher.jpg
3.1,3,Alfonsine Tables,A page from the Alfonsine Tables giving times of observations of celestial events.,"Kislak Center for Special Collections, Rare Books and Manuscripts University of Pennsylvania, LJS 174.",3.1-Tablas_alfonsies.jpg
3.2,3,Sex ratio,"Arbuthnot’s data on the ratio of male to female births. The average ratio, 1.07, is shown by the upper dashed line, compared to the solid line at 1.0. The curved line shows a smoothed (loess) curve through the points, with a shaded confidence interval.",© The Authors.,3.2-arbuthnot-gg.png
3.3,3,First comparative shaded maps,"Guerry and Balbi’s 1829 Statistique comparée de l’état de l’instruction et du nombre des crimes. Top left: crimes against persons; top right: crimes against property; bottom: instruction. In each map, the departments are shaded so that darker is worse (more crime or less education).",Reproduction courtesy of the Bibliothéque National Français.,3.3-guerry1829-bnf2s.jpg
3.4,3,Quetelet's (1836) maps of crime,"Crimes against property (left), crimes against persons (right).","Reproduction courtesy of Princeton University Library, Historic Maps Collection.",3.4-quetelet-map-1836-thumbnail.jpg
3.5,3,Suicide method and age,"Histograms of the age distributions of suicide by pistol vs. by hanging, for males.","André-Michel Guerry, Essai sur la statistique morale de la France. Paris: Crochard, 1833, Plate VII.",3.5-guerry1833-bar-suicide.png
3.6,3,Ranked lists,Ranking of crimes against persons in seven age groups. Connecting lines show some noteworthy trends.,"André-Michel Guerry, Essai sur la statistique morale de la France. Paris: Crochard, 1833, Plate IV.",3.6-guerry1833-age1c.jpg
3.7,3,Reproduction of Guerry’s six maps,"As in Guerry’s originals, darker shading signifies worse on each moral variable. Numbers give the rank order of departments on each variable. Data source: André-Michel Guerry, Statistique morale de l’Angleterre comparée avec la statistique morale de la France, d’après les comptes de l’administration de la justice criminelle en Angleterre et en France, etc. Paris: J.-B. Baillière et fils, 1864.",,3.7-guerrymap.png
3.8,3,Enhanced plot,"Scatterplot of crimes against persons versus literacy from Guerry’s data, one point for each department. The black line shows the linear regression relation; the gray slightly curved line shows a nonparametric smoothing. Points outside a 90 percent data ellipse are identified by department.",© The Authors.,3.8-bivar2.png
4.1,4,Deaths from cholera and diarrhea,"Farr’s chart showing deaths from cholera and diarrhea in each day of the year 1849, together with charts of weather phenomena over this time period. The three line graphs at the top show, respectively barometric pressure, wind, rain, and temperature, recorded at Greenwich. The two at the bottom record the numbers of deaths from cholera (dark, with a large peak) and diarrhea (light).","General Register Office, Report on the Mortality of Cholera in England, 1848–49. London: Printed by W. Clowes, for HMSO, 1852, Plate 2.",4.1-cholera-diarrhea.png
4.10,4,Line graph of Nightingale’s data,The data on causes of mortality plotted as a time-series line graph.,© The Authors.,4.10-nightingale-line.png
4.2,4,Death and elevation,"Diagram of the inverse relation between number of deaths from cholera (width of horizontal lines) and elevation above the Thames (vertical position) for sixteen elevations, from 0 to 350 feet. Numbers on the lines give the predicted values; dotted lines, where present, show the actual number of deaths.","General Register Office, Report on the Mortality of Cholera in England, 1848–49. London: Printed by W. Clowes, for HMSO, 1852. p. lxv.",4.2-farr-cholera-elevation-cropped-2.png
4.3,4,Scatterplot,"Farr’s elevation—mortality data as a scatterplot, showing mortality (y) as the outcome, in relation to elevation (x) as the explanatory variable. The values of cholera mortality calculated from Farr’s “law” are shown by the solid curve. A smoothed fit to the data points is shown by the dashed curve.",© The Authors.,4.3-cholera-elev-law.png
4.4,4,Inverse elevation plot,"Plot of Farr’s data, with elevation reexpressed as 1/(E+a). The predicted values from his theory are now shown to form a highly linear relation to cholera mortality in the solid curve. A few unusual districts are labeled.",© The Authors.,4.4-cholera-elev-inv.png
4.5,4,Schematic map,"Diagram of the registration districts of London, showing elevation (e), cholera deaths (c), deaths from all causes (m), population density (d), other variables and initials for the water company supplying each district.","General Register Office, Report on the Mortality of Cholera in England, 1848–49. London: Printed by W. Clowes, for HMSO, 1852, p. clxv.",4.5-cholera-tabular-map.png
4.6,4,Deaths by water supply region,Reanalysis of Farr’s data by water supply region. Left: cholera mortality versus elevation; right: mortality versus poor rate. The lines show linear regression relations for each subset of districts. A few unusual districts are labeled in each plot.,© The Authors.,4.6-cholera-elev-poor1.png
4.7,4,Snow’s map,"John Snow’s dot map of Soho, showing the clusters of cases of cholera in the epidemic of 1854 from August 19 to September 30. Deaths from cholera are shown by stacked black bars at the address of residence. At right: a detail from the map, centered around the pump on Broad Street, highlighting the locations of the workhouse and the brewery.","John Snow, On the Mode of Communication of Cholera, 2nd ed. London: John Churchill, 1855 / Wikimedia Commons.",4.7-snow-map-combined.png
4.8,4,Boundary region,"Detail of a version of Snow’s second map of the cholera outbreak, showing the boundary of the region of addresses believed to draw their water from the Broad Street pump.",The John Snow Archive and Research Companion.,4.8-snow-map-1855b-boundary.png
4.9,4,Presentation graphic,"Mark Monmonier’s re-vision of the Gilbert version of Snow’s map, as a presentation graphic.","Extracted from Mark Monmonier, How to Lie with Maps. Chicago: The University of Chicago Press, 1991, fig. 9.18.",4.9-monmonier.png
5.1,5,Graphical conventions,Some of the basic graphical conventions for statistical charts established by Playfair. These features were designed to make graphs more directly readable and understandable.,"William Playfair, The Commercial and Political Atlas, London, 1786. Labels by the authors.",5.1-graph-elements.png
5.2,5,Pie chart details,"Three details from Playfair’s Chart 2, showing two pie charts (left: Turkish Empire; middle: German Empire) and a Venn-like diagram (right) for the German Empire.","William Playfair, The Statistical Breviary, London, 1801.",5.2-playfair-1801-plate2-pies.png
5.3,5,Exports and imports with Germany,"A time-series line graph showing England’s im- ports from and exports to Germany over the entire eighteenth century. The area between the curves represents the balance of trade, labeled “Balance in Favor of England.”","William Playfair, The Commercial and Political Atlas, London, 1786.",5.3-playfair-atlas-germany-2.png
5.4,5,Exports and imports with France,"A time-series line graph showing England’s exports to and imports from France over the entire eighteenth century. The area between the curves represents the balance of trade, labeled “Balance in Favor of England.”","William Playfair, The Commercial and Political Atlas, London, 1786.",
5.5,5,Plotting the difference between curves,"Left: Re-creation of Playfair’s chart of the exports and imports between England and the East Indies; right: a direct plot of balance of trade, exports minus imports.","Redrawn from William S. Cleveland, The Elements of Graphing Data. New Jersey: Hobart Press, 1994, fig. 4.2.",5.5-east-indies-ggplot2.png
5.6,5,Plotting the national debt,Playfair’s chart of the national debt of England containing a lot of explanatory collateral information brilliantly integrated.,"William Playfair, The Commercial and Political Atlas, London, 1786.",5.6-playfair-atlas-national-debt.png
5.7,5,Playfair’s first bar chart,Playfair’s bar chart of the imports (gray bars) and exports (black) to Scotland in 1781 from 17 different places.,"William Playfair, The Commercial and Political Atlas, London, 1786.",5.7-playfair-atlas-plate25-2.png
5.8,5,The first known bar chart,A bar chart by Philippe Buache and Guillaume de L’Isle showing both the low and high water marks of the Seine for the thirty-five years between 1732 until 1766.,"Philippe Buache, Cartes et tables de la géographie physique ou naturelle, Paris, 1754.",5.8-buache1770-seine-bar-cropped.jpg
5.9,5,Parallel time-series,"A time-series display showing three parallel time-series: prices of a quarter of wheat (the histogram bars), wages of a good mechanic (the line beneath it) and the reigns of English monarchs from Elizabeth I to George IV (1565 through 1820).","William Playfair, A Letter on Our Agricultural Distresses, Their Causes and Remedies. London: W. Sams, 1821.",5.9-playfair-wheat.jpg
6.1,6,Modern scatterplot,A conventional modern scatterplot depicting the relation between salary and years of experience for a hypothetical group of ten workers.,© The Authors.,6.1-workers.png
6.10,6,Ellipse geometry,Herschel’s geometric construction of the apparent elliptical orbit of Gamma Virginis from the calculations based on Figure 6.7. The principal star is marked “S.” The labeled points around the ellipse show the interpolated observations translated to this space.,"John F. W. Herschel, “On the investigation of the orbits of revolving double stars: Being a supplement to a paper entitled ‘micrometrical measures of 364 double stars,”’ Memoirs of the Royal Astronomical Society, 5, (1833), 171–222.",6.10-herschel1833-hankins-fg3.jpg
6.11,6,The first correlation diagram,"Galton’s first correlation diagram, showing the relation between head circumference and height, from his undated notebook, “Special Peculiarities.”","Reproduced from Victor L. Hilts, A Guide to Francis Galton’s English Men of Science, Vol. 65, Part 5. Philadelphia, PA: Transactions of the American Philosophical Society, 1975, pp. 1–85, fig. 5.",6.11-scatter_galton-cropped.png
6.12,6,Sweet pea diagram,"Galton’s semigraphic table of the sweet pea data, represented in classed intervals around the averages for parent and child seeds. The marks in the cells are supposed to represent the number of seeds in each combination.",galton.org.,6.12-galton-seeds.png
6.12,6,Sweet pea diagram,"Galton’s semigraphic table of the sweet pea data, represented in classed intervals around the averages for parent and child seeds. The marks in the cells are supposed to represent the number of seeds in each combination.",galton.org.,6.12-galton-seeds2.png
6.13,6,Visual argument for regression,"Reconstruction of Galton’s argument from the experiment on sweet peas, from his 1877 graph. The plotted points show the data that Galton later reported in his 1889 Natural Inheritance (table 2, p. 226), but jittered horizontally because the sizes of the parent seeds were discrete. The solid line shows the fitted linear relation of means (+), joined by a thicker line. The fact that the fitted line of the means had a slope less than 1.0 implied what Galton later called “regression toward the mean” in filial characteristics.",© The Authors.,6.13-galton-peas.png
6.14,6,Semigraphic table,Galton’s Table I on the relationship between heights of parents and their children. Entries in the table are the number of adult children.,"Reformatted from Francis Galton, “Regression towards Mediocrity in Hereditary Stature,” Journal of the Anthropological Institute of Great Britain and Ireland, 15 (1886), 246–263, table I.",6.14-galton-table-stigler1989.png
6.15,6,Finding contours,"Are construction of Galton’s method for finding contours of approximately equal frequency in the relation between heights of parents and their children. Left: The original data from his table (Figure 6.14) are shown in a small font (dark); the smoothed values are shown in a large font (light). Right: the lines joining the means of y|x and the means of x|y are added, together with the corresponding regression lines.",© The Authors.,6.15a-galton-interp2.pdf
6.15,6,Finding contours,"Are construction of Galton’s method for finding contours of approximately equal frequency in the relation between heights of parents and their children. Left: The original data from his table (Figure 6.14) are shown in a small font (dark); the smoothed values are shown in a large font (light). Right: the lines joining the means of y|x and the means of x|y are added, together with the corresponding regression lines.",© The Authors.,6.15b-galton-interp3.pdf
6.16,6,Elliptical insight,"Galton’s smoothed correlation diagram for the data on heights of parents and children, showing one ellipse of constant frequency. The geometric relations between the regression lines and the tangent lines and major and minor axes are also shown.","Extracted from Francis Galton, “Regression towards Mediocrity in Hereditary Stature,” Journal of the Anthropological Institute of Great Britain and Ireland, 15 (1886), 246–263, Plate X.",6.16-galton1886-corr.png
6.17,6,Early HR diagram,Russell’s plot of absolute magnitude against spectral class.,"Ian Spence and Robert F. Garrison, “A Remarkable Scatterplot,” The American Statistician, 47:1 (1993), pp. 12–19, fig. 1. Reprinted by permission of Taylor & Francis Ltd.",6.17-Spence_Garrison_1.png
6.18,6,Outliers fool least-squares regression,"Hertzsprung–Russell diagrams for a collection of stars in the CYG OB1 star cluster. Left: regression line and data ellipse covering 50% of the points, fit using standard least-squares methods; right: regression line and 50% data ellipse using a robust method which is insensitive to the obvious unusual points in the upper left corner.",© The Authors.,6.18a-hertzsprung1.png
6.18,6,Outliers fool least-squares regression,"Hertzsprung–Russell diagrams for a collection of stars in the CYG OB1 star cluster. Left: regression line and data ellipse covering 50% of the points, fit using standard least-squares methods; right: regression line and 50% data ellipse using a robust method which is insensitive to the obvious unusual points in the upper left corner.",© The Authors.,6.18b-hertzsprung2.png
6.19,6,The Phillips curve,"Phillips’s data on wage inflation and unemployment, 1861–1913, with the fitted Phillips curve. Points used in the fitting process are shown by + signs.","A. W. Phillips, “The Relation between Unemployment and the Rate of Change of Money Wage Rates in the United Kingdom, 1861–1957,” Economica, 25:100 (1958), pp. 283–299, fig. 1.",6.19-phillips-fig1-300dpi.png
6.2,6,A theoretical relation,"Edmund Halley’s 1686 bivariate plot of the theoretical relation between barometric pressure (y) and altitude (x), derived from observational data.","Edmond Halley, “On the height of the mercury in the barometer at different elevations above the surface of the earth, and on the rising and falling of the mercury on the change of weather,” Philosophical Transactions, 16, (1686), 104–115.",6.2-halleygraph.png
6.20,6,Unemployment cycles,"Phillips’s data showing one cycle in wage inflation and unem- ployment, 1893–1904, with the fitted curve from 1861 to 1913.","A. W. Phillips, “The Relation between Unemployment and the Rate of Change of Money Wage Rates in the United Kingdom, 1861–1957,” Economica, 25:100 (1958), pp. 283–299, fig. 6.",6.20-phillips-fig6-300dpi.png
6.21,6,A spurious correlation,Chocolate consumption per capita and the number of Nobel prizes per million population in twenty-three countries.,"Reformatted from Franz H. Messerli, “Chocolate Consumption, Cognitive Function, and Nobel Laureates,” The New Eng- land Journal of Medicine, 367:16 (2012), pp. 1562–1564, fig. 1. © 2012 Massachusetts Medical Society. Reprinted with permission from Massachusetts Medical Society.",6.21-messereli-chocolate.jpeg
6.22,6,More spurious correlations,"Correlations between countries’ number of Nobel laureates per 10 million population and other spurious causes: (A) annual per capita wine consumption; (B) number of IKEA stores per 10 million population. Data source: Pierre Maurage, Alexandre Heeren, and Mauro Pesenti, “Does Chocolate Consumption Really Boost Nobel Award Chances? The Peril of Over-Interpreting Correlations in Health Studies,” Journal of Nutrition, 143:6 (2013), pp. 931–933, figs. 1B and 1C.",,6.22-nobel-wine-ikea.png
6.3,6,Cotes’s diagram,"Roger Cotes’s depiction of four two-dimensional fallible observations which could be combined using a weighted mean at their center of gravity, Z, to give a more precise estimate.","Roger Cotes, Aestimatio Errorum in Mixta Mathesis, per Variationes Planitum Trianguli Plani et Spherici, 1722.",6.3-cotes1722-22.png
6.4,6,Chart of soil temperatures,J. H. Lambert’s chart of the variation in soil temperatures at various latitudes over time. The horizontal axis represents time within a year using astronomical symbols.,"Johann Heinrich Lambert, Pyrometrie; oder, vom maasse des feuers und der wärme mit acht kupfertafeln. Berlin: Haude & Spener, 1779.",6.4-lambert1779-graph.jpg
6.5,6,Plotting the ratio,"Redrawn version of Playfair’s time-series graph, showing the ratio of price of wheat to wages, together with a nonparametric smooth curve.",© The Authors.,6.5-wheat2.png
6.6,6,Scatterplot view,"Scatterplot version of Playfair’s data, joining the points in time order, and showing the linear regression of price of wheat on wages.",© The Authors.,6.6-wheat3.png
6.7,6,Herschel’s first scatterplot,"Herschel’s graphical method applied to his data on the double star γ Virginis. The plot shows observations of position angle separating the twin stars on the vertical axis and time on the horizontal axis. Some observations, considered as more reliable, are shown as double circles. The key feature is the smoothed curve, from which he drew the tangent lines, giving him the angular velocities at evenly spaced distances along the curve.","John F. W. Herschel, “On the investigation of the orbits of revolving double stars: Being a supplement to a paper entitled ‘micrometrical measures of 364 double stars,’” Memoirs of the Royal Astronomical Society, 5, (1833), 171–222.",6.7-herschel1833-hankins-fg2.jpg
6.8,6,Star measurements,Observations of a double star involved measuring two quantities to determine the orbit: the position angle of the fainter star and the angular distance between them.,© The Authors.,6.8-star-diagram.png
6.9,6,Herschel redone,"Reconstruction of Herschel’s graph of data on the orbits of γ Virginis together with his eye-smoothed, interpolated curve (light gray) and a loess smoothed curve (dark gray). Circles around each data point are of area proportional to Herschel’s weight for the observation.",© The Authors.,6.9-herschel-rplot.png
7.1,7,Milestones timeline,"The time distribution of events considered milestones in the history of data visualization, shown by a rug plot and a density estimate. The data consist of n = 260 significant events from 1500 to the present (Friendly, 2005). The developments in the highlighted period, from roughly 1840 to 1910, comprise the subject of this chapter.","Reformatted from Michael Friendly, “The Golden Age of Statistical Graphics,” Statistical Science, 23:4 (2008), pp. 502–535, fig. 1.",7.1-mileyears3.png
7.10,7,Polar / area diagrams on a map,"“Gross receipts of theaters in Paris from 1878 to 1889” (Exposition Universelle de 1889: Recettes brutes des théatres et spectacles de Paris 1878 à 1889). Each diagram uses sectors of length proportional to the receipts at a given theater in each year from 1878 to 1889, highlighting the values for the years of the Universal Expositions in a lighter shade.","Caisse nationale des retraites pour la vieillesse. Album de Statistique Graphique. Paris: Imprimerie Nationale, 1889, Plate 26.",7.10-c_1889_theatres.jpg
7.11,7,Anamorphic map,“Acceleration of travel in France over 200 years” (Accélération des voyages en France depuis 200 Ans). A set of five Paris-centric maps scaled along radial directions to major cities to show the relative decrease in travel time from 1789 to 1887.,"Caisse nationale des retraites pour la vieillesse. Album de Statistique Graphique. Paris: Imprimerie Nationale, 1888, Plate 8a.",7.11-Album1888-p8a.jpg
7.12,7,Planetary diagram,"“Transportation of principal merchandise in France in four-year periods” (Mouvement des principales marchandises en France, par période quatriennale). Left: combustible minerals, for example, coal, coke; right: construction materials. The length of rays indicate average distance; circle diameters represent tonnage moved.","Caisse nationale des retraites pour la vieillesse. Album de Statistique Graphique. Paris: Imprimerie Nationale, 1897, Plate 9.",7.12-Album1895-p09-rumsey.jpg
7.13,7,Bilateral histograms,"“Chart Showing the Distribution of Deaths... by Sex and Month of Death and according to Race and Nationality.” Left: detail from causes of death; right: full plate, with labels for the three sections added.","United States Census Office, Statistical Atlas of the United States Based on the Results of the Ninth Census 1870. New York: Julius Bien, 1874, Plate 44.",7.13a-1870_racedeath_pyramidline-detail.jpg
7.13,7,Bilateral histograms,"“Chart Showing the Distribution of Deaths... by Sex and Month of Death and according to Race and Nationality.” Left: detail from causes of death; right: full plate, with labels for the three sections added.","United States Census Office, Statistical Atlas of the United States Based on the Results of the Ninth Census 1870. New York: Julius Bien, 1874, Plate 44.",7.13b-1870_racedeath_pyramidline-s-anno.jpg
7.2,7,Some technological advances leading to the Golden Age,"Left: automatic recording: the Watt Indicator, James Watt (1822); middle: calculating devices, Babbage (1822/1833); right: photography: motion: Muybridge (1879).","(left) National Museum of American History, The Smithsonian Institution; (middle) Britannica.com; (right) Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-23778, detail.",7.2a-watt-indicator2.jpg
7.2,7,Some technological advances leading to the Golden Age,"Left: automatic recording: the Watt Indicator, James Watt (1822); middle: calculating devices, Babbage (1822/1833); right: photography: motion: Muybridge (1879).","(left) National Museum of American History, The Smithsonian Institution; (middle) Britannica.com; (right) Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-23778, detail.",7.2b-technology2.jpg
7.2,7,Some technological advances leading to the Golden Age,"Left: automatic recording: the Watt Indicator, James Watt (1822); middle: calculating devices, Babbage (1822/1833); right: photography: motion: Muybridge (1879).","(left) National Museum of American History, The Smithsonian Institution; (middle) Britannica.com; (right) Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-23778, detail.",7.2c-technology3.jpg
7.3,7,Nomograms,"A computational diagram combining diverse graphic forms. This tour-de force nomogram by Charles Lallemand (1885) uses anamorphic maps, parallel coordinates, and 3D surfaces to calculate magnetic deviation at sea.",Reproduction courtesy of École des Mines.,7.3-1885_Lallemand_AbaqueLeTriomphe.jpg
7.4,7,Engineering diagram,"Why did the bridge collapse? Across-sectional diagram showing one of the bridge supports, providing a before-after comparison.","Detail from Charles Joseph Minard, De la chute des ponts dans les grandes crues. Paris: E Thunot et Cie, 1856. Reproduction © École nationale des ponts et chausées, 4_4921_C282.",7.4-minard-ENPC01_4_4921_C282_0023.tif
7.5,7,Comparative flow maps,Effect of the US Civil War on trade in cotton. The import of raw cotton to Europe from various sources to destination is shown by colored flow bands of width proportional to the amount of cotton before (left: 1858) and after (right: 1862) the US Civil War.,"Charles Joseph Minard, “Carte figurative et approximative des quantités de coton en Europe en 1858 et 1862,” Paris, 1863. Reproduction © École nationale des ponts et chausées, 4Fol 10975.",7.5a-Minard_1858.jpg
7.5,7,Comparative flow maps,Effect of the US Civil War on trade in cotton. The import of raw cotton to Europe from various sources to destination is shown by colored flow bands of width proportional to the amount of cotton before (left: 1858) and after (right: 1862) the US Civil War.,"Charles Joseph Minard, “Carte figurative et approximative des quantités de coton en Europe en 1858 et 1862,” Paris, 1863. Reproduction © École nationale des ponts et chausées, 4Fol 10975.",7.5b-Minard_1862.jpg
7.6,7,Minard’s greatest work,Minard’s 1869 Carte figurative depicting the fate of Napoleon’s Grand Army in the disastrous 1812 campaign to capture Moscow.,Wikimedia Commons.,7.6-Minard-march.png
7.7,7,Galton’s data collection form,Top portion of the form Galton sent to observers to record weather variables throughout the month of December 1861. Noteworthy is Galton’s attempt to define the conditions of the observations and to standardize the scales on which each of the seven weather variables were to be recorded.,"Francis Galton, Meteorographica, or Methods of Mapping the Weather. London: Macmillan, 1863.",7.7-galton1861-form1a-cropped.jpg
