"chapter";"fig";"fignum";"filename";"title";"subtitle";"source"
"6";21;"6.21";"06_21-nobel-chocolate.png";"A spurious correlation";"Chocolate consumption per capita and the number of Nobel prizes per million population in twenty-three countries. ";"Reformatted from Franz H. Messerli, “Chocolate Consumption, Cognitive Function, and Nobel Laureates,” The New Eng- land Journal of Medicine, 367:16 (2012), pp. 1562–1564, fig. 1. © 2012 Massachusetts Medical Society. Reprinted with permission from Massachusetts Medical Society."
"6";22;"6.22";"06_22-nobel-wine-ikea.png";"More spurious correlations";"Correlations between countries’ number of Nobel laureates per 10 million population and other spurious causes: (A) annual per capita wine consumption; (B) number of IKEA stores per 10 million population. Data source: Pierre Maurage, Alexandre Heeren, and Mauro Pesenti, “Does Chocolate Consumption Really Boost Nobel Award Chances? The Peril of Over-Interpreting Correlations in Health Studies,” Journal of Nutrition, 143:6 (2013), pp. 931–933, figs. 1B and 1C.";
"7";1;"7.1";"07_1-mileyears3.png";"Milestones timeline";"The time distribution of events considered milestones in the history of data visualization, shown by a rug plot and a density estimate. The data consist of n = 260 significant events from 1500 to the present (Friendly, 2005). The developments in the highlighted period, from roughly 1840 to 1910, comprise the subject of this chapter. ";"Reformatted from Michael Friendly, “The Golden Age of Statistical Graphics,” Statistical Science, 23:4 (2008), pp. 502–535, fig. 1."
"7";2;"7.2";"07_2a-watt-indicator2.jpg, 07_2b-technology2.jpg, 07_2c-technology3.jpg";"Some technological advances leading to the Golden Age";"Left: automatic recording: the Watt Indicator, James Watt (1822); middle: calculating devices, Babbage (1822/1833); right: photography: motion: Muybridge (1879). ";"(left) National Museum of American History, The Smithsonian Institution; (middle) Britannica.com; (right) Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-23778, detail."
"7";3;"7.3";"07_3-1885_Lallemand_AbaqueLeTriomphe.jpg";"Nomograms";"A computational diagram combining diverse graphic forms. This tour-de force nomogram by Charles Lallemand (1885) uses anamorphic maps, parallel coordinates, and 3D surfaces to calculate magnetic deviation at sea. ";"Reproduction courtesy of École des Mines."
"7";4;"7.4";"07_4-minard-ENPC01_4_4921_C282_0023.tif";"Engineering diagram";"Why did the bridge collapse? Across-sectional diagram showing one of the bridge supports, providing a before-after comparison. ";"Detail from Charles Joseph Minard, De la chute des ponts dans les grandes crues. Paris: E Thunot et Cie, 1856. Reproduction © École nationale des ponts et chausées, 4_4921_C282."
"7";5;"7.5";"07_5a-Minard_1858.jpg, 07_5b-Minard_1862.jpg";"Comparative flow maps";"Effect of the US Civil War on trade in cotton. The import of raw cotton to Europe from various sources to destination is shown by colored flow bands of width proportional to the amount of cotton before (left: 1858) and after (right: 1862) the US Civil War. ";"Charles Joseph Minard, “Carte figurative et approximative des quantités de coton en Europe en 1858 et 1862,” Paris, 1863. Reproduction © École nationale des ponts et chausées, 4Fol 10975."
"7";6;"7.6";"07_6-Minard-march.png";"Minard’s greatest work";"Minard’s 1869 Carte figurative depicting the fate of Napoleon’s Grand Army in the disastrous 1812 campaign to capture Moscow. ";"Wikimedia Commons."
"7";7;"7.7";"07_7-galton1861-form1a-cropped.jpg";"Galton’s data collection form";"Top portion of the form Galton sent to observers to record weather variables throughout the month of December 1861. Noteworthy is Galton’s attempt to define the conditions of the observations and to standardize the scales on which each of the seven weather variables were to be recorded. ";"Francis Galton, Meteorographica, or Methods of Mapping the Weather. London: Macmillan, 1863."
"7";8;"7.8";"07_8-galton1861-dec8-barom.jpg";"Iconic 3D barometric maps, bipolar scale";"Galton’s barometric maps for December 8, 1861. Gray and black symbols represent, respectively, lower and higher barometric pressure than average, with degrees of divergence ranging from ⃝ through ⨀, and ✻ to ●. ";"Francis Galton, Meteographica, or Methods of Mapping the Weather. London: Macmillan, 1863."
"7";9;"7.9";"07_9-c_calendar-2.png";"Two-way star / radar diagrams";"“Comparison of the numbers attending the Expositions of 1867, 1878 and 1889” (Exposition Universelle de 1889: Comparaison du Nombre des Entrées aux Expositions de 1867, 1878 et 1889). In each star-shaped figure the length of the radial dimension shows the number of paid entrants on each day of the month. ";"Caisse nationale des retraites pour la vieillesse. Album de Statistique Graphique. Paris: Imprimerie Nationale, 1889, Plate 21."
"7";10;"7.10";"07_10-c_1889_theatres.jpg";"Polar / area diagrams on a map";"“Gross receipts of theaters in Paris from 1878 to 1889” (Exposition Universelle de 1889: Recettes brutes des théatres et spectacles de Paris 1878 à 1889). Each diagram uses sectors of length proportional to the receipts at a given theater in each year from 1878 to 1889, highlighting the values for the years of the Universal Expositions in a lighter shade. ";"Caisse nationale des retraites pour la vieillesse. Album de Statistique Graphique. Paris: Imprimerie Nationale, 1889, Plate 26."
"7";11;"7.11";"07_11-Album1888-p8a.jpg";"Anamorphic map";"“Acceleration of travel in France over 200 years” (Accélération des voyages en France depuis 200 Ans). A set of five Paris-centric maps scaled along radial directions to major cities to show the relative decrease in travel time from 1789 to 1887. ";"Caisse nationale des retraites pour la vieillesse. Album de Statistique Graphique. Paris: Imprimerie Nationale, 1888, Plate 8a."
"7";12;"7.12";"07_12-Album1895-p09-rumsey.jpg";"Planetary diagram";"“Transportation of principal merchandise in France in four-year periods” (Mouvement des principales marchandises en France, par période quatriennale). Left: combustible minerals, for example, coal, coke; right: construction materials. The length of rays indicate average distance; circle diameters represent tonnage moved. ";"Caisse nationale des retraites pour la vieillesse. Album de Statistique Graphique. Paris: Imprimerie Nationale, 1897, Plate 9."
"7";13;"7.13";"07_13a-1870_racedeath_pyramidline-detail.jpg, 07_13b-1870_racedeath_pyramidline-s-anno.jpg";"Bilateral histograms";"“Chart Showing the Distribution of Deaths... by Sex and Month of Death and according to Race and Nationality.” Left: detail from causes of death; right: full plate, with labels for the three sections added. ";"United States Census Office, Statistical Atlas of the United States Based on the Results of the Ninth Census 1870. New York: Julius Bien, 1874, Plate 44."
"8";1;"8.1";"08_1-pearson1901.png";"Picturing a higher-dimensional plane in 2D";"Karl Pearson tries to show a solution to the problem of fitting a plane of closest fit. In 2D, the fitted plane appears as a line. ";"Karl Pearson, “LIII. On Lines and Planes of Closest Fit to Systems of Points in Space,” London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science, 2:11 (1901), 559–572, page 560."
"8";2;"8.2";"08_2-halley-map-300.jpg";"Contour map of magnetic declination";"Edmund Halley drew lines of equal magnetic declination on a map, possibly the first contour map of a data-based variable. The figure shows the map for the Atlantic Ocean. The curve are the isogonal lines, with the degree of magnetic declination given as numbers along each. The thick line is the agonic line of no variation where the compass reading is true; the dashed line with ships shows the track of Halley’s second voyage. ";"Edmond Halley, A New and Correct Chart Shewing the Variations of the Compass in the Western & Southern Oceans as Observed in ye Year 1700 by his Maties Command, 1701."
"8";3;"8.3";"08_3-halley-Lori-imago-detail.jpg";"Detail showing Halley’s observations";"This figure shows the central portion of Halley’s map with the locations of his observations. The triangles show the locations of observations from the first voyage; circles show those from the second voyage. ";"Detail from Lori L. Murray and David R. Bellhouse, “How Was Edmond Halley’s Map of Magnetic Declination (1701) Constructed?,” Imago Mundi, 69 (2017):1, 72–84, Plate 10."
"8";4;"8.4";"08_4-Lalanne_APC-1846-1.tif";"Contour map of a bivariate table";"The graph shows the level curves of recordings of soil temperature measured over time, for months of one year (horizontal axis) by hours of the day. The maximum temperature occurs in early July, around 3:00 PM. ";"L. F. Kaemtz, Cours complet de météorologie. Paris: Paulin, 1845, Appendix figure 2."
"8";5;"8.5";"08_5-vauthier2.jpg";"Population density of Paris";"Louis-Léger Vauthier showed the population density of Paris by many contour levels representing densities of 200 to 1,200 people per unit area. ";"Louis-Léger Vauthier, 1874."
"8";6;"8.6";"08_6-zeuner-fig4.png";"Axonometric projection of a 3D surface";"The labeled points and connecting lines are meant to illustrate how surfaces and lines appear when projected onto the planes formed by the coordinate axes. ";"Gustav Zeuner, Abhandlungen aus der mathematischen statistik. Leipzig: Verlag von Arthur Felix, 1869, fig. 4."
"8";7;"8.7";"08_7-Perozzo1880-cropped.jpg";"3D population pyramid";"Luigi Perozzo showed the age distributions of the population of Sweden from 1750 to 1875 as a three-dimensional surface. Census years go from left to right, age is shown front (old) to back (young), and the height of the surface represents the count of people of that age. ";"Luigi Perozzo, “Stereogrammi Demografici – Seconda memo- ria dell’Ingegnere Luigi Perozzo. (Tav. V),” Annali di Statistica, Serie 2, Vol. 22, (Ministero d’Agricoltura, Industria e Commercio, Direzione di Statistica), 1881, pp. 1–20."
"8";8;"8.8";"08_8-perozzo-breton.jpg";"3D statistical sculpture";"Perozzo created this 3D model of the population data as a tangible object, perhaps the first statistical sculpture. ";"Centre Pompidou."
"9";1;"9.1";"09_1-horse-in-motion-1878-muybridge.jpg";"The Horse in Motion";"Photographs of the horse “Sally Gardner”running at a gallop, June 19, 1878. ";"Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-06607."
"9";2;"9.2";"09_2-Zoopraxiscope_16485u.jpg";"Seeing motion";"Zoopraxiscope disk showing thirteen images of a kicking horse. The frames at the bottom show the sequence of extension of the hind legs together with the support of the fore legs. ";"Wikimedia Commons."
"9";3;"9.3";"09_3-marey-bird.png";"Recording flight";"A harness, designed to register the trajectory, force and speed of a bird’s wing in flight. ";"Étienne-Jules Marey, La machine animale, locomotion terestre et aérienne. Paris: Librairie Germer Baillière, 1873, fig. 104."
"9";4;"9.4";"09_4-800px-Fusil_de_Marey_p1040353.jpg";"Photographic gun";"One of Marey’s photographic guns. The cylinder at the top holds the film roll, recording twenty-four images over a two-second period. ";"Wikimedia Commons."
"9";5;"9.5";"09_5-etienne-jules-marey-running.jpg";"Starting a sprint";"Chronophotograph of a runner beginning a sprint. ";"Étienne-Jules Marey, Flight/WordPress.com."
"9";6;"9.6";"09_6-Falling_cat_1894.jpg";"Falling cat";"Successive images of a falling cat, captured at twelve frames per second on a chronophotographic device. The sequence starts at the upper left, and is continued at the left of the lower panel. ";"“Photographs of a Tumbling Cat,” Nature, 51:1308 (1894), pp. 80–81, fig. 1."
"9";7;"9.7";"09_7-KaneScher-Fig6.png";"Visual proof";"Computer-drawn images of rotation according to the mathematical model, overlaid on photographs of a falling cat. ";"T. R. Kane and M. P. Sher, “A Dynamical Explanation of the Falling Cat Phenomenon,” International Journal Solids Struc- tures, 5 (1969), pp. 663–670, fig. 6. Reprinted with permission from Elsevier."
